@relation musicas

@attribute name {'Your Love Is King - Remastered','Smooth Operator - Remastered','Hang On to Your Love - Remastered','The Sweetest Taboo - Remastered','Is It a Crime - Remastered','Never as Good as the First Time - Remastered','Jezebel - Remastered','Love Is Stronger Than Pride - Remastered','Paradise - Remastered Version','Nothing Can Come Between Us - Remastered','No Ordinary Love - Remastered','Kiss of Life - Remastered','Feel No Pain - Remastered','Bullet Proof Soul - Remastered','Cherish the Day - Remastered','Pearls - Remastered','By Your Side - Remastered','Immigrant - Remastered','Flow - Remastered','King of Sorrow - Remastered','Primeiro Avião','Noites de Berlim',Basta,'Tango Novo','Sétima Maior',Partindo,'Sobre Você',Talvez,Livre,Muda,'Pra Ser','Chacarera da Saudade','Fotos Instantâneas','Naquela Esquina','Chacarera da Saudade - Ao Vivo','Basta - Ao Vivo','Partindo - Ao Vivo','Pra Ser - Ao Vivo','Noites de Berlim - Ao Vivo','Martes - Ao Vivo','Segunda-Feira - Ao Vivo','Sétima Maior - Ao Vivo','Carta aos Desinteressados - Ao Vivo','Sinto Muito Blues - Ao Vivo','Montagem Sai do Chão','Um Morto Muito Louco',Tchutchuca,'Vira de Ladinho','Dona Gigi / Atoladinha',Descontrolada,'Tchutchuca Treme o Bumbum','Planeta Dominado / Tropa de Elite / Rap Glamurosa','Namorar Pelado / Beija Beija Ta Calor','Uh Papai Chegou / 4X4 / Trair a Minha Namorada / Red Label ou Ice','Tranquilão / Vou Desafiar Você / Perder a Linha','Treme o Bumbum','Cerol na Mão','Me Usa','Copo de Vinho','Só Zueira','Rap da Felicidade / Rap das Armas','É o Pente','Ai Ai Ui Ui / Vem Kikando / Passinho do Bonequinho','Mistura Louca','choque térmico - ao vivo','quando a bad bater - ao vivo','sofrendo feito um louco - ao vivo','mendigando amor - ao vivo','ignore - ao vivo','água com açúcar - ao vivo','meu investimento - ao vivo','princesa não levanta - ao vivo','moça chique - ao vivo','motel paraíso - ao vivo','tática infalível - ao vivo','puxando o rodo - ao vivo','cê vai perder essa mulher - ao vivo','flores, amor e pudim - ao vivo','boa memória - ao vivo','a - ao vivo','pot-pourri: te vivo / sinais / você não sabe o que é amor / meteoro / amar não é pecado - ao vivo','acordando o prédio - ao vivo','sofazinho - ao vivo','vingança - ao vivo'}
@attribute acousticness numeric
@attribute danceability numeric
@attribute durationMs numeric
@attribute energy numeric
@attribute instrumentalness numeric
@attribute key numeric
@attribute liveness numeric
@attribute loudness numeric
@attribute speechiness numeric
@attribute tempo numeric
@attribute timeSignature numeric
@attribute valence numeric
@attribute preferencia {GOSTO,NAO_GOSTO}

@data
'Dona Gigi / Atoladinha',0.524,0.612,137920,0.99,0,8,0.975,-3.675,0.241,131.249,4,0.524,NAO_GOSTO
Descontrolada,0.0739,0.735,54912,0.982,0.0125,3,0.971,-4.101,0.0969,131.126,4,0.0739,NAO_GOSTO
'Tchutchuca Treme o Bumbum',0.233,0.645,105152,0.93,0,3,0.935,-4.583,0.252,133.265,4,0.233,NAO_GOSTO
'Planeta Dominado / Tropa de Elite / Rap Glamurosa',0.13,0.567,108256,0.94,0,10,0.947,-4.654,0.141,133.237,4,0.13,NAO_GOSTO
'Namorar Pelado / Beija Beija Ta Calor',0.517,0.44,51264,0.998,0.00569,1,0.927,-3.585,0.597,133.95,4,0.517,NAO_GOSTO
'Uh Papai Chegou / 4X4 / Trair a Minha Namorada / Red Label ou Ice',0.511,0.451,184711,0.972,0.000003,7,0.962,-3.626,0.514,132.311,4,0.511,NAO_GOSTO
'Tranquilão / Vou Desafiar Você / Perder a Linha',0.502,0.585,497451,0.946,0,8,0.974,-4.254,0.169,136.004,4,0.502,NAO_GOSTO
'Treme o Bumbum',0.593,0.632,182880,0.847,0,9,0.415,-4.006,0.0427,89.993,4,0.593,NAO_GOSTO
'Cerol na Mão',0.265,0.574,204907,0.985,0.000003,6,0.966,-3.352,0.381,133.075,4,0.265,NAO_GOSTO
'Me Usa',0.349,0.638,147808,0.985,0,11,0.35,-3.542,0.467,133.55,4,0.349,NAO_GOSTO
'Copo de Vinho',0.278,0.616,94933,0.942,0,5,0.401,-5.036,0.0765,133.607,4,0.278,NAO_GOSTO
'Só Zueira',0.142,0.673,115797,0.961,0,6,0.397,-3.867,0.0746,132.47,4,0.142,NAO_GOSTO
'Rap da Felicidade / Rap das Armas',0.0275,0.559,121291,0.99,0,7,0.664,-3.607,0.397,133.986,4,0.0275,NAO_GOSTO
'É o Pente',0.446,0.6,197611,0.992,0,1,0.517,-3.448,0.389,129.296,4,0.446,NAO_GOSTO
'Ai Ai Ui Ui / Vem Kikando / Passinho do Bonequinho',0.172,0.637,231253,0.952,0,1,0.371,-3.505,0.176,128.938,4,0.172,NAO_GOSTO
'Mistura Louca',0.378,0.34,125579,0.96,0,4,0.599,-4.503,0.717,129.296,4,0.378,NAO_GOSTO
'choque térmico - ao vivo',0.342,0.737,180001,0.758,0,2,0.834,-5.508,0.0402,126.978,4,0.342,NAO_GOSTO
'quando a bad bater - ao vivo',0.304,0.648,179722,0.789,0,1,0.532,-4.767,0.0414,128.124,4,0.304,NAO_GOSTO
'sofrendo feito um louco - ao vivo',0.283,0.525,167927,0.762,0,7,0.235,-4.823,0.0668,125.678,4,0.283,NAO_GOSTO
'mendigando amor - ao vivo',0.486,0.618,173871,0.851,0,0,0.134,-4.395,0.0557,127.977,4,0.486,NAO_GOSTO
'ignore - ao vivo',0.313,0.696,188267,0.786,0,0,0.24,-5.997,0.0976,124.97,4,0.313,NAO_GOSTO
'água com açúcar - ao vivo',0.144,0.457,249847,0.603,0,3,0.679,-7.729,0.0278,77.048,4,0.144,NAO_GOSTO
'meu investimento - ao vivo',0.501,0.415,184846,0.787,0,11,0.748,-5.243,0.0343,147.639,4,0.501,NAO_GOSTO
'princesa não levanta - ao vivo',0.61,0.577,193097,0.855,0,11,0.379,-4.837,0.0948,157.942,4,0.61,NAO_GOSTO
'moça chique - ao vivo',0.563,0.311,186967,0.66,0,6,0.416,-5.516,0.0414,83.042,3,0.563,NAO_GOSTO
'motel paraíso - ao vivo',0.607,0.329,199413,0.526,0.000041,0,0.113,-5.881,0.0269,100.617,4,0.607,NAO_GOSTO
'tática infalível - ao vivo',0.162,0.712,198949,0.849,0,11,0.355,-5.94,0.0383,125.986,4,0.162,NAO_GOSTO
'puxando o rodo - ao vivo',0.433,0.574,185481,0.791,0.000007,2,0.455,-4.859,0.0435,171.06,4,0.433,NAO_GOSTO
'cê vai perder essa mulher - ao vivo',0.744,0.436,180187,0.583,0,9,0.905,-5.991,0.0323,118.894,4,0.744,NAO_GOSTO
'flores, amor e pudim - ao vivo',0.725,0.333,235265,0.448,0,2,0.952,-6.12,0.0306,65.254,4,0.725,NAO_GOSTO
'boa memória - ao vivo',0.759,0.394,214088,0.498,0,7,0.518,-6.853,0.0341,132.74,4,0.759,NAO_GOSTO
'a - ao vivo',0.296,0.644,200713,0.697,0,11,0.642,-6.672,0.0706,127.917,4,0.296,NAO_GOSTO
'pot-pourri: te vivo / sinais / você não sabe o que é amor / meteoro / amar não é pecado - ao vivo',0.0554,0.271,441736,0.804,0.000072,11,0.434,-7.827,0.328,72.475,4,0.0554,NAO_GOSTO
'acordando o prédio - ao vivo',0.148,0.616,256813,0.874,0.00204,1,0.566,-6.33,0.0476,93.026,4,0.148,NAO_GOSTO
'sofazinho - ao vivo',0.367,0.531,190682,0.841,0.000001,0,0.92,-5.905,0.0664,164.061,4,0.367,NAO_GOSTO
'vingança - ao vivo',0.158,0.368,213345,0.85,0.000016,1,0.0594,-6.361,0.0642,110.537,3,0.158,NAO_GOSTO
